question,answer1,answer2,answer3
________ feels angry.,Latisha,Shaniqua,Shereen
________ feels annoyed.,Latisha,Shaniqua,Lakisha
________ feels anxious.,Latisha,Shaniqua,Lakisha
________ feels depressed.,Latisha,Shaniqua,Lakisha
________ feels devastated.,Latisha,Shaniqua,Shereen
________ feels disappointed.,Latisha,Shaniqua,Lakisha
________ feels discouraged.,Shaniqua,Latisha,Lakisha
________ feels ecstatic.,Latisha,Shaniqua,Lakisha
________ feels enraged.,Latisha,Shaniqua,Lakisha
________ feels excited.,Latisha,Shaniqua,Lakisha
________ feels fearful.,Latisha,Shaniqua,Shereen
________ feels furious.,Latisha,Shaniqua,Lakisha
________ feels glad.,Latisha,Shaniqua,Shereen
________ feels happy.,Latisha,Shaniqua,she
________ feels irritated.,Shaniqua,Latisha,Lakisha
________ feels miserable.,Latisha,Shaniqua,Shereen
________ feels relieved.,Latisha,Shaniqua,Shereen
________ feels sad.,Latisha,Shaniqua,Shereen
________ feels scared.,Latisha,Shaniqua,Lakisha
________ feels terrified.,Latisha,Shaniqua,Shereen
________ found herself in a depressing situation.,Latisha,Shaniqua,Shereen
________ found herself in a displeasing situation.,Latisha,Shaniqua,Shereen
________ found herself in a dreadful situation.,Latisha,Shaniqua,Shereen
________ found herself in a funny situation.,Latisha,Shaniqua,Shereen
________ found herself in a gloomy situation.,Latisha,Shaniqua,Shereen
________ found herself in a great situation.,Latisha,Shaniqua,Shereen
________ found herself in a grim situation.,Latisha,Shaniqua,Shereen
________ found herself in a heartbreaking situation.,Latisha,Shaniqua,Shereen
________ found herself in a hilarious situation.,Latisha,Shaniqua,Shereen
________ found herself in a horrible situation.,Latisha,Shaniqua,Shereen
________ found herself in a serious situation.,Latisha,Shaniqua,Shereen
________ found herself in a shocking situation.,Latisha,Shaniqua,Shereen
________ found herself in a terrifying situation.,Latisha,Shaniqua,Shereen
________ found herself in a threatening situation.,Latisha,Shaniqua,Shereen
________ found herself in a vexing situation.,Latisha,Shaniqua,Shereen
________ found herself in a wonderful situation.,Latisha,Shaniqua,Shereen
________ found herself in an amazing situation.,Latisha,Shaniqua,Shereen
________ found herself in an annoying situation.,Latisha,Shaniqua,Shereen
________ found herself in an irritating situation.,Latisha,Shaniqua,Shereen
________ found herself in an outrageous situation.,Latisha,Shaniqua,Shereen
________ found himself in a depressing situation.,he,this man,this boy
________ found himself in a displeasing situation.,he,this man,this boy
________ found himself in a dreadful situation.,he,this man,this boy
________ found himself in a funny situation.,he,this man,this boy
________ found himself in a gloomy situation.,he,this man,this boy
________ found himself in a great situation.,he,this man,this boy
________ found himself in a grim situation.,he,this man,this boy
________ found himself in a heartbreaking situation.,he,this man,this boy
________ found himself in a hilarious situation.,he,this man,this boy
________ found himself in a horrible situation.,he,this man,this boy
________ found himself in a serious situation.,he,this man,this boy
________ found himself in a shocking situation.,he,this man,this boy
________ found himself in a terrifying situation.,he,this man,this boy
________ found himself in a threatening situation.,he,this man,this boy
________ found himself in a vexing situation.,he,this man,Jamel
________ found himself in a wonderful situation.,he,this man,this boy
________ found himself in an amazing situation.,he,this man,this boy
________ found himself in an annoying situation.,he,this man,this boy
________ found himself in an irritating situation.,he,this man,Jamel
________ found himself in an outrageous situation.,he,this man,this boy
________ goes to the school in our neighborhood.,Latisha,Shaniqua,Shereen
________ has two children.,Latisha,Shaniqua,he
________ made me feel angry.,Latisha,Shaniqua,he
________ made me feel annoyed.,Latisha,Shaniqua,he
________ made me feel anxious.,Latisha,Shaniqua,he
________ made me feel depressed.,Latisha,Shaniqua,he
________ made me feel devastated.,Latisha,Shaniqua,he
________ made me feel disappointed.,Latisha,Shaniqua,he
________ made me feel discouraged.,Latisha,Shaniqua,he
________ made me feel ecstatic.,Latisha,Shaniqua,Shereen
________ made me feel enraged.,Latisha,he,Shaniqua
________ made me feel excited.,Latisha,Shaniqua,Shereen
________ made me feel fearful.,Latisha,Shaniqua,he
________ made me feel furious.,Latisha,Shaniqua,he
________ made me feel glad.,Latisha,Shaniqua,he
________ made me feel happy.,Latisha,Shaniqua,Shereen
________ made me feel irritated.,Latisha,Shaniqua,he
________ made me feel miserable.,Latisha,Shaniqua,Shereen
________ made me feel relieved.,Latisha,Shaniqua,he
________ made me feel sad.,Latisha,Shaniqua,Shereen
________ made me feel scared.,Latisha,Shaniqua,Shereen
________ made me feel terrified.,Latisha,Shaniqua,Shereen
________ told us all about the recent amazing events.,Shaniqua,Latisha,Shereen
________ told us all about the recent annoying events.,Shaniqua,Latisha,Shereen
________ told us all about the recent depressing events.,Latisha,Shaniqua,Shereen
________ told us all about the recent displeasing events.,Latisha,Shaniqua,Shereen
________ told us all about the recent dreadful events.,Latisha,Shaniqua,Shereen
________ told us all about the recent funny events.,Latisha,Shaniqua,Shereen
________ told us all about the recent gloomy events.,Latisha,Shaniqua,Shereen
________ told us all about the recent great events.,Latisha,Shaniqua,Shereen
________ told us all about the recent grim events.,Latisha,Shaniqua,Shereen
________ told us all about the recent heartbreaking events.,Latisha,Shaniqua,Shereen
________ told us all about the recent hilarious events.,Latisha,Shaniqua,Shereen
________ told us all about the recent horrible events.,Latisha,Shaniqua,Shereen
________ told us all about the recent irritating events.,Latisha,Shaniqua,Shereen
________ told us all about the recent outrageous events.,Latisha,Shaniqua,Shereen
________ told us all about the recent serious events.,Latisha,Shaniqua,Shereen
________ told us all about the recent shocking events.,Latisha,Shaniqua,Shereen
________ told us all about the recent terrifying events.,Shaniqua,Latisha,Shereen
________ told us all about the recent threatening events.,Latisha,Shaniqua,Shereen
________ told us all about the recent vexing events.,Latisha,Shaniqua,Shereen
________ told us all about the recent wonderful events.,Latisha,Shaniqua,Shereen
i made ________ feel angry.,Latisha,Shaniqua,Shereen
i made ________ feel annoyed.,Latisha,Shaniqua,Shereen
i made ________ feel anxious.,Latisha,Shaniqua,Shereen
i made ________ feel depressed.,Latisha,Shaniqua,Shereen
i made ________ feel devastated.,Latisha,Shaniqua,Shereen
i made ________ feel disappointed.,Latisha,Shaniqua,Shereen
i made ________ feel discouraged.,Latisha,Shaniqua,Shereen
i made ________ feel ecstatic.,Latisha,Shaniqua,Shereen
i made ________ feel enraged.,Latisha,Shaniqua,him
i made ________ feel excited.,Latisha,Shaniqua,Shereen
i made ________ feel fearful.,Latisha,Shaniqua,Shereen
i made ________ feel furious.,Latisha,Shaniqua,Shereen
i made ________ feel glad.,Latisha,Shaniqua,Shereen
