question,answer1,answer2,answer3
adam feels ________.,disappointed,scared,terrified
adam found himself in a ________ situation.,terrifying,serious,horrible
adam found himself in an ________ situation.,outrageous,annoying,irritating
adam made me feel ________.,enraged,terrified,disappointed
adam told us all about the recent ________ events.,terrifying,outrageous,great
alan feels ________.,scared,disappointed,terrified
alan found himself in a ________ situation.,terrifying,serious,depressing
alan found himself in an ________ situation.,outrageous,annoying,irritating
alan made me feel ________.,enraged,terrified,disappointed
alan told us all about the recent ________ events.,terrifying,great,depressing
alonzo feels ________.,scared,disappointed,excited
alonzo found himself in a ________ situation.,terrifying,serious,horrible
alonzo found himself in an ________ situation.,outrageous,annoying,irritating
alonzo made me feel ________.,enraged,terrified,annoyed
alonzo told us all about the recent ________ events.,terrifying,outrageous,depressing
alphonse feels ________.,disappointed,angry,scared
alphonse found himself in a ________ situation.,terrifying,serious,horrible
alphonse found himself in an ________ situation.,outrageous,annoying,irritating
alphonse made me feel ________.,enraged,terrified,annoyed
alphonse told us all about the recent ________ events.,terrifying,outrageous,great
amanda feels ________.,excited,scared,angry
amanda found herself in a ________ situation.,terrifying,serious,horrible
amanda found herself in an ________ situation.,outrageous,annoying,irritating
amanda made me feel ________.,terrified,enraged,disappointed
amanda told us all about the recent ________ events.,terrifying,outrageous,depressing
andrew feels ________.,disappointed,annoyed,scared
andrew found himself in a ________ situation.,terrifying,serious,horrible
andrew found himself in an ________ situation.,outrageous,annoying,irritating
andrew made me feel ________.,enraged,terrified,annoyed
andrew told us all about the recent ________ events.,terrifying,great,outrageous
betsy feels ________.,scared,disappointed,angry
betsy found herself in a ________ situation.,terrifying,serious,horrible
betsy found herself in an ________ situation.,outrageous,annoying,irritating
betsy made me feel ________.,enraged,terrified,disappointed
betsy told us all about the recent ________ events.,terrifying,outrageous,great
courtney feels ________.,scared,excited,disappointed
courtney found herself in a ________ situation.,terrifying,serious,horrible
courtney found herself in an ________ situation.,outrageous,annoying,irritating
courtney made me feel ________.,terrified,enraged,disappointed
courtney told us all about the recent ________ events.,terrifying,outrageous,depressing
darnell feels ________.,scared,disappointed,terrified
darnell found himself in a ________ situation.,terrifying,serious,horrible
darnell found himself in an ________ situation.,outrageous,annoying,irritating
darnell made me feel ________.,enraged,terrified,annoyed
darnell told us all about the recent ________ events.,terrifying,outrageous,depressing
ebony feels ________.,angry,scared,excited
ebony found herself in a ________ situation.,serious,terrifying,horrible
ebony found herself in an ________ situation.,outrageous,annoying,irritating
ebony made me feel ________.,enraged,terrified,ecstatic
ebony told us all about the recent ________ events.,terrifying,outrageous,depressing
ellen feels ________.,scared,excited,angry
ellen found herself in a ________ situation.,serious,terrifying,horrible
ellen found herself in an ________ situation.,outrageous,annoying,irritating
ellen made me feel ________.,terrified,enraged,disappointed
ellen told us all about the recent ________ events.,terrifying,outrageous,depressing
frank feels ________.,disappointed,terrified,enraged
frank found himself in a ________ situation.,terrifying,serious,horrible
frank found himself in an ________ situation.,outrageous,annoying,irritating
frank made me feel ________.,enraged,terrified,sad
frank told us all about the recent ________ events.,terrifying,great,outrageous
harry feels ________.,scared,disappointed,excited
harry found himself in a ________ situation.,terrifying,serious,horrible
harry found himself in an ________ situation.,outrageous,annoying,irritating
harry made me feel ________.,enraged,terrified,annoyed
harry told us all about the recent ________ events.,terrifying,outrageous,great
he feels ________.,scared,disappointed,excited
he found himself in a ________ situation.,terrifying,serious,horrible
he found himself in an ________ situation.,outrageous,annoying,irritating
he made me feel ________.,enraged,terrified,disappointed
he told us all about the recent ________ events.,terrifying,outrageous,great
heather feels ________.,scared,angry,excited
heather found herself in a ________ situation.,serious,terrifying,horrible
heather found herself in an ________ situation.,outrageous,annoying,irritating
heather made me feel ________.,enraged,terrified,disappointed
heather told us all about the recent ________ events.,terrifying,outrageous,great
i made adam feel ________.,terrified,enraged,disappointed
i made alan feel ________.,terrified,enraged,disappointed
i made alonzo feel ________.,terrified,enraged,disappointed
i made alphonse feel ________.,enraged,terrified,disappointed
i made amanda feel ________.,terrified,disappointed,enraged
i made andrew feel ________.,enraged,terrified,disappointed
i made betsy feel ________.,terrified,enraged,disappointed
i made courtney feel ________.,terrified,disappointed,enraged
i made darnell feel ________.,terrified,enraged,disappointed
i made ebony feel ________.,terrified,enraged,ecstatic
i made ellen feel ________.,terrified,scared,disappointed
i made frank feel ________.,enraged,terrified,disappointed
i made harry feel ________.,terrified,enraged,disappointed
i made heather feel ________.,terrified,disappointed,enraged
i made her feel ________.,terrified,enraged,disappointed
i made him feel ________.,terrified,enraged,disappointed
i made jack feel ________.,enraged,terrified,ecstatic
i made jamel feel ________.,enraged,terrified,disappointed
i made jasmine feel ________.,terrified,enraged,disappointed
i made jerome feel ________.,terrified,disappointed,enraged
i made josh feel ________.,enraged,terrified,disappointed
i made justin feel ________.,enraged,disappointed,terrified
i made katie feel ________.,terrified,disappointed,scared
i made kristin feel ________.,terrified,disappointed,enraged
i made lakisha feel ________.,enraged,terrified,disappointed
i made lamar feel ________.,terrified,enraged,disappointed
i made latisha feel ________.,terrified,enraged,disappointed
i made latoya feel ________.,terrified,enraged,disappointed
i made leroy feel ________.,terrified,enraged,disappointed
i made malik feel ________.,enraged,terrified,disappointed
i made melanie feel ________.,terrified,disappointed,enraged
i made my aunt feel ________.,terrified,scared,disappointed
i made my boyfriend feel ________.,terrified,enraged,disappointed
i made my brother feel ________.,terrified,scared,disappointed
i made my dad feel ________.,terrified,enraged,disappointed
i made my daughter feel ________.,terrified,scared,disappointed
i made my father feel ________.,terrified,enraged,disappointed
i made my girlfriend feel ________.,terrified,enraged,disappointed
i made my husband feel ________.,terrified,scared,disappointed
i made my mom feel ________.,terrified,enraged,disappointed
i made my mother feel ________.,terrified,enraged,ecstatic
i made my sister feel ________.,terrified,enraged,disappointed
i made my son feel ________.,terrified,enraged,disappointed
i made my uncle feel ________.,terrified,scared,disappointed
i made my wife feel ________.,terrified,enraged,disappointed
i made nancy feel ________.,terrified,enraged,ecstatic
i made nichelle feel ________.,terrified,enraged,disappointed
i made roger feel ________.,terrified,disappointed,scared
i made ryan feel ________.,terrified,disappointed,scared
i made shaniqua feel ________.,enraged,terrified,disappointed
i made shereen feel ________.,terrified,enraged,disappointed
i made stephanie feel ________.,terrified,disappointed,enraged
i made tanisha feel ________.,terrified,enraged,disappointed
i made terrence feel ________.,terrified,enraged,disappointed
i made this boy feel ________.,terrified,enraged,disappointed
i made this girl feel ________.,enraged,terrified,disappointed
i made this man feel ________.,enraged,terrified,disappointed
i made this woman feel ________.,enraged,terrified,disappointed
i made tia feel ________.,enraged,terrified,disappointed
i made torrance feel ________.,terrified,enraged,ecstatic
jack feels ________.,enraged,scared,terrified
jack found himself in a ________ situation.,terrifying,serious,depressing
jack found himself in an ________ situation.,outrageous,annoying,irritating
jack made me feel ________.,enraged,terrified,ecstatic
jack told us all about the recent ________ events.,terrifying,great,outrageous
jamel feels ________.,scared,disappointed,angry
jamel found himself in a ________ situation.,terrifying,serious,horrible
jamel found himself in an ________ situation.,outrageous,annoying,irritating
jamel made me feel ________.,enraged,terrified,annoyed
jamel told us all about the recent ________ events.,terrifying,outrageous,depressing
