question,answer1,answer2,answer3
adam feels ________.,happy,glad,disappointed
adam found himself in a ________ situation.,displeasing,serious,great
adam found himself in an ________ situation.,irritating,amazing,annoying
adam made me feel ________.,happy,glad,scared
adam told us all about the recent ________ events.,displeasing,great,serious
alan feels ________.,happy,disappointed,glad
alan found himself in a ________ situation.,displeasing,serious,great
alan found himself in an ________ situation.,irritating,amazing,annoying
alan made me feel ________.,happy,glad,scared
alan told us all about the recent ________ events.,displeasing,serious,great
alonzo feels ________.,glad,annoyed,ecstatic
alonzo found himself in a ________ situation.,serious,displeasing,great
alonzo found himself in an ________ situation.,irritating,amazing,annoying
alonzo made me feel ________.,happy,glad,scared
alonzo told us all about the recent ________ events.,displeasing,great,serious
alphonse feels ________.,annoyed,glad,fearful
alphonse found himself in a ________ situation.,displeasing,serious,great
alphonse found himself in an ________ situation.,irritating,amazing,annoying
alphonse made me feel ________.,happy,glad,scared
alphonse told us all about the recent ________ events.,displeasing,great,serious
amanda feels ________.,annoyed,glad,happy
amanda found herself in a ________ situation.,displeasing,serious,great
amanda found herself in an ________ situation.,irritating,amazing,annoying
amanda made me feel ________.,happy,glad,scared
amanda told us all about the recent ________ events.,displeasing,serious,great
andrew feels ________.,happy,glad,disappointed
andrew found himself in a ________ situation.,displeasing,serious,great
andrew found himself in an ________ situation.,irritating,amazing,annoying
andrew made me feel ________.,happy,glad,disappointed
andrew told us all about the recent ________ events.,displeasing,great,serious
betsy feels ________.,glad,annoyed,happy
betsy found herself in a ________ situation.,displeasing,serious,great
betsy found herself in an ________ situation.,irritating,amazing,annoying
betsy made me feel ________.,happy,glad,scared
betsy told us all about the recent ________ events.,displeasing,great,serious
courtney feels ________.,glad,happy,relieved
courtney found herself in a ________ situation.,serious,displeasing,great
courtney found herself in an ________ situation.,irritating,amazing,annoying
courtney made me feel ________.,happy,glad,scared
courtney told us all about the recent ________ events.,displeasing,great,serious
darnell feels ________.,annoyed,glad,happy
darnell found himself in a ________ situation.,serious,displeasing,great
darnell found himself in an ________ situation.,irritating,annoying,amazing
darnell made me feel ________.,happy,glad,scared
darnell told us all about the recent ________ events.,displeasing,serious,great
ebony feels ________.,glad,annoyed,irritated
ebony found herself in a ________ situation.,serious,displeasing,great
ebony found herself in an ________ situation.,irritating,amazing,annoying
ebony made me feel ________.,happy,glad,scared
