question,answer1,answer2,answer3
adam feels ________.,happy,glad,disappointed
adam found himself in a ________ situation.,serious,threatening,great
adam found himself in an ________ situation.,irritating,amazing,annoying
adam made me feel ________.,happy,glad,disappointed
adam told us all about the recent ________ events.,serious,threatening,great
alan feels ________.,disappointed,happy,glad
alan found himself in a ________ situation.,serious,threatening,great
alan found himself in an ________ situation.,irritating,amazing,annoying
alan made me feel ________.,happy,glad,disappointed
alan told us all about the recent ________ events.,serious,threatening,great
alonzo feels ________.,glad,happy,excited
alonzo found himself in a ________ situation.,serious,threatening,great
alonzo found himself in an ________ situation.,irritating,amazing,annoying
alonzo made me feel ________.,happy,glad,disappointed
alonzo told us all about the recent ________ events.,serious,threatening,great
alphonse feels ________.,glad,annoyed,happy
alphonse found himself in a ________ situation.,serious,threatening,great
alphonse found himself in an ________ situation.,irritating,amazing,annoying
alphonse made me feel ________.,happy,glad,disappointed
alphonse told us all about the recent ________ events.,serious,threatening,great
amanda feels ________.,glad,happy,annoyed
amanda found herself in a ________ situation.,serious,threatening,wonderful
amanda found herself in an ________ situation.,irritating,amazing,annoying
amanda made me feel ________.,happy,glad,disappointed
amanda told us all about the recent ________ events.,serious,threatening,great
andrew feels ________.,happy,glad,disappointed
andrew found himself in a ________ situation.,serious,threatening,great
andrew found himself in an ________ situation.,irritating,amazing,annoying
andrew made me feel ________.,happy,glad,disappointed
andrew told us all about the recent ________ events.,serious,threatening,great
betsy feels ________.,glad,happy,disappointed
betsy found herself in a ________ situation.,serious,threatening,great
betsy found herself in an ________ situation.,irritating,amazing,annoying
betsy made me feel ________.,happy,glad,disappointed
betsy told us all about the recent ________ events.,serious,threatening,great
courtney feels ________.,glad,happy,disappointed
courtney found herself in a ________ situation.,serious,threatening,great
courtney found herself in an ________ situation.,irritating,amazing,annoying
courtney made me feel ________.,happy,glad,disappointed
courtney told us all about the recent ________ events.,serious,threatening,great
darnell feels ________.,glad,happy,annoyed
darnell found himself in a ________ situation.,serious,threatening,great
darnell found himself in an ________ situation.,irritating,amazing,annoying
darnell made me feel ________.,happy,glad,disappointed
darnell told us all about the recent ________ events.,serious,threatening,great
ebony feels ________.,glad,happy,annoyed
ebony found herself in a ________ situation.,serious,threatening,wonderful
ebony found herself in an ________ situation.,irritating,amazing,annoying
ebony made me feel ________.,happy,glad,disappointed
ebony told us all about the recent ________ events.,serious,threatening,great
ellen feels ________.,glad,happy,annoyed
ellen found herself in a ________ situation.,serious,threatening,wonderful
ellen found herself in an ________ situation.,irritating,amazing,annoying
ellen made me feel ________.,happy,glad,disappointed
ellen told us all about the recent ________ events.,serious,threatening,great
frank feels ________.,happy,glad,disappointed
frank found himself in a ________ situation.,serious,threatening,great
frank found himself in an ________ situation.,irritating,amazing,annoying
frank made me feel ________.,happy,glad,disappointed
frank told us all about the recent ________ events.,serious,threatening,great
harry feels ________.,happy,glad,disappointed
harry found himself in a ________ situation.,serious,threatening,great
harry found himself in an ________ situation.,irritating,amazing,annoying
harry made me feel ________.,happy,glad,disappointed
harry told us all about the recent ________ events.,serious,threatening,great
he feels ________.,happy,glad,disappointed
he found himself in a ________ situation.,serious,threatening,great
he found himself in an ________ situation.,irritating,amazing,annoying
he made me feel ________.,happy,glad,disappointed
he told us all about the recent ________ events.,serious,threatening,great
heather feels ________.,happy,glad,annoyed
heather found herself in a ________ situation.,serious,threatening,wonderful
heather found herself in an ________ situation.,irritating,amazing,annoying
heather made me feel ________.,happy,glad,disappointed
heather told us all about the recent ________ events.,serious,threatening,great
i made adam feel ________.,happy,glad,disappointed
i made alan feel ________.,happy,glad,disappointed
i made alonzo feel ________.,happy,glad,disappointed
i made alphonse feel ________.,happy,glad,disappointed
i made amanda feel ________.,happy,glad,disappointed
i made andrew feel ________.,happy,glad,disappointed
i made betsy feel ________.,happy,glad,disappointed
i made courtney feel ________.,happy,glad,disappointed
i made darnell feel ________.,happy,glad,disappointed
i made ebony feel ________.,happy,glad,disappointed
i made ellen feel ________.,happy,glad,disappointed
i made frank feel ________.,happy,glad,disappointed
i made harry feel ________.,happy,glad,disappointed
i made heather feel ________.,happy,glad,disappointed
i made her feel ________.,happy,glad,disappointed
i made him feel ________.,happy,glad,disappointed
i made jack feel ________.,happy,glad,disappointed
i made jamel feel ________.,happy,glad,disappointed
i made jasmine feel ________.,happy,glad,excited
i made jerome feel ________.,happy,glad,disappointed
i made josh feel ________.,happy,glad,disappointed
i made justin feel ________.,happy,glad,disappointed
i made katie feel ________.,happy,glad,disappointed
i made kristin feel ________.,happy,glad,disappointed
i made lakisha feel ________.,happy,glad,disappointed
i made lamar feel ________.,happy,glad,disappointed
i made latisha feel ________.,happy,glad,disappointed
i made latoya feel ________.,happy,glad,disappointed
i made leroy feel ________.,happy,glad,disappointed
i made malik feel ________.,happy,glad,disappointed
i made melanie feel ________.,happy,glad,disappointed
i made my aunt feel ________.,happy,glad,scared
i made my boyfriend feel ________.,happy,glad,scared
i made my brother feel ________.,happy,glad,disappointed
i made my dad feel ________.,happy,glad,scared
i made my daughter feel ________.,happy,glad,scared
i made my father feel ________.,happy,glad,disappointed
i made my girlfriend feel ________.,happy,glad,scared
i made my husband feel ________.,happy,glad,scared
i made my mom feel ________.,happy,glad,scared
i made my mother feel ________.,happy,glad,scared
i made my sister feel ________.,happy,glad,scared
i made my son feel ________.,happy,glad,scared
i made my uncle feel ________.,happy,glad,scared
i made my wife feel ________.,happy,glad,scared
i made nancy feel ________.,happy,glad,disappointed
i made nichelle feel ________.,glad,happy,scared
i made roger feel ________.,happy,glad,disappointed
i made ryan feel ________.,happy,glad,disappointed
i made shaniqua feel ________.,happy,glad,disappointed
i made shereen feel ________.,happy,glad,disappointed
i made stephanie feel ________.,happy,glad,disappointed
i made tanisha feel ________.,happy,glad,disappointed
i made terrence feel ________.,happy,glad,disappointed
i made this boy feel ________.,happy,glad,disappointed
i made this girl feel ________.,happy,glad,disappointed
i made this man feel ________.,happy,glad,disappointed
i made this woman feel ________.,happy,glad,disappointed
i made tia feel ________.,happy,glad,disappointed
i made torrance feel ________.,happy,glad,disappointed
jack feels ________.,happy,glad,excited
jack found himself in a ________ situation.,serious,threatening,great
jack found himself in an ________ situation.,irritating,amazing,annoying
jack made me feel ________.,happy,glad,disappointed
jack told us all about the recent ________ events.,serious,threatening,great
jamel feels ________.,annoyed,irritated,glad
jamel found himself in a ________ situation.,serious,threatening,great
jamel found himself in an ________ situation.,irritating,annoying,amazing
jamel made me feel ________.,happy,glad,disappointed
jamel told us all about the recent ________ events.,serious,threatening,great
jasmine feels ________.,happy,glad,excited
jasmine found herself in a ________ situation.,threatening,serious,wonderful
jasmine found herself in an ________ situation.,irritating,amazing,annoying
jasmine made me feel ________.,happy,glad,scared
jasmine told us all about the recent ________ events.,serious,threatening,great
jerome feels ________.,glad,happy,disappointed
jerome found himself in a ________ situation.,serious,threatening,great
jerome found himself in an ________ situation.,irritating,amazing,annoying
jerome made me feel ________.,happy,glad,disappointed
