question,answer1,answer2,answer3
adam feels ________.,happy,glad,excited
adam found himself in a ________ situation.,great,serious,threatening
adam found himself in an ________ situation.,amazing,irritating,annoying
adam made me feel ________.,happy,glad,scared
adam told us all about the recent ________ events.,great,serious,wonderful
alan feels ________.,happy,glad,disappointed
alan found himself in a ________ situation.,serious,great,threatening
alan found himself in an ________ situation.,amazing,irritating,annoying
alan made me feel ________.,happy,glad,scared
alan told us all about the recent ________ events.,great,serious,wonderful
alonzo feels ________.,happy,glad,miserable
alonzo found himself in a ________ situation.,great,serious,threatening
alonzo found himself in an ________ situation.,amazing,irritating,annoying
alonzo made me feel ________.,happy,glad,scared
alonzo told us all about the recent ________ events.,great,serious,wonderful
alphonse feels ________.,annoyed,enraged,glad
alphonse found himself in a ________ situation.,great,serious,threatening
alphonse found himself in an ________ situation.,irritating,amazing,annoying
alphonse made me feel ________.,happy,glad,scared
alphonse told us all about the recent ________ events.,great,serious,threatening
amanda feels ________.,happy,glad,annoyed
amanda found herself in a ________ situation.,great,serious,wonderful
amanda found herself in an ________ situation.,amazing,irritating,annoying
amanda made me feel ________.,happy,glad,scared
amanda told us all about the recent ________ events.,great,serious,wonderful
andrew feels ________.,happy,glad,disappointed
andrew found himself in a ________ situation.,great,serious,threatening
andrew found himself in an ________ situation.,amazing,irritating,annoying
andrew made me feel ________.,happy,glad,scared
andrew told us all about the recent ________ events.,great,serious,threatening
betsy feels ________.,happy,glad,annoyed
betsy found herself in a ________ situation.,great,serious,threatening
betsy found herself in an ________ situation.,amazing,irritating,annoying
betsy made me feel ________.,happy,glad,scared
betsy told us all about the recent ________ events.,great,serious,wonderful
courtney feels ________.,glad,happy,annoyed
courtney found herself in a ________ situation.,serious,great,threatening
courtney found herself in an ________ situation.,amazing,irritating,annoying
courtney made me feel ________.,happy,glad,scared
courtney told us all about the recent ________ events.,great,serious,threatening
darnell feels ________.,glad,happy,annoyed
darnell found himself in a ________ situation.,serious,great,threatening
darnell found himself in an ________ situation.,irritating,amazing,annoying
darnell made me feel ________.,happy,glad,scared
darnell told us all about the recent ________ events.,great,serious,wonderful
ebony feels ________.,glad,happy,annoyed
ebony found herself in a ________ situation.,great,serious,wonderful
ebony found herself in an ________ situation.,amazing,irritating,annoying
ebony made me feel ________.,happy,glad,scared
ebony told us all about the recent ________ events.,great,serious,wonderful
ellen feels ________.,happy,glad,annoyed
ellen found herself in a ________ situation.,serious,great,wonderful
ellen found herself in an ________ situation.,amazing,irritating,annoying
ellen made me feel ________.,happy,glad,scared
ellen told us all about the recent ________ events.,great,serious,wonderful
frank feels ________.,happy,glad,annoyed
frank found himself in a ________ situation.,serious,great,threatening
frank found himself in an ________ situation.,amazing,irritating,annoying
frank made me feel ________.,happy,glad,scared
frank told us all about the recent ________ events.,great,serious,wonderful
harry feels ________.,happy,glad,annoyed
harry found himself in a ________ situation.,great,serious,threatening
harry found himself in an ________ situation.,amazing,irritating,annoying
harry made me feel ________.,happy,glad,scared
harry told us all about the recent ________ events.,great,serious,wonderful
he feels ________.,happy,glad,disappointed
he found himself in a ________ situation.,serious,great,threatening
he found himself in an ________ situation.,amazing,irritating,annoying
he made me feel ________.,happy,glad,scared
he told us all about the recent ________ events.,great,serious,threatening
heather feels ________.,happy,glad,annoyed
heather found herself in a ________ situation.,great,serious,wonderful
heather found herself in an ________ situation.,amazing,irritating,annoying
heather made me feel ________.,happy,glad,scared
heather told us all about the recent ________ events.,great,serious,wonderful
i made adam feel ________.,happy,glad,excited
i made alan feel ________.,happy,glad,disappointed
i made alonzo feel ________.,happy,glad,scared
i made alphonse feel ________.,happy,glad,scared
i made amanda feel ________.,happy,glad,scared
i made andrew feel ________.,happy,glad,disappointed
i made betsy feel ________.,happy,glad,scared
i made courtney feel ________.,happy,glad,disappointed
i made darnell feel ________.,happy,glad,excited
i made ebony feel ________.,happy,glad,scared
i made ellen feel ________.,happy,glad,scared
i made frank feel ________.,happy,glad,scared
i made harry feel ________.,happy,glad,disappointed
i made heather feel ________.,happy,glad,excited
i made her feel ________.,happy,glad,scared
i made him feel ________.,happy,glad,scared
i made jack feel ________.,happy,glad,scared
i made jamel feel ________.,happy,glad,disappointed
i made jasmine feel ________.,happy,glad,scared
i made jerome feel ________.,happy,glad,scared
i made josh feel ________.,happy,glad,excited
i made justin feel ________.,happy,glad,scared
i made katie feel ________.,happy,glad,excited
i made kristin feel ________.,happy,glad,scared
i made lakisha feel ________.,happy,glad,disappointed
i made lamar feel ________.,happy,glad,excited
i made latisha feel ________.,happy,glad,excited
i made latoya feel ________.,happy,glad,scared
i made leroy feel ________.,happy,glad,scared
i made malik feel ________.,happy,glad,disappointed
i made melanie feel ________.,happy,glad,scared
i made my aunt feel ________.,happy,glad,scared
i made my boyfriend feel ________.,happy,glad,scared
i made my brother feel ________.,happy,glad,scared
i made my dad feel ________.,happy,glad,scared
i made my daughter feel ________.,happy,glad,scared
i made my father feel ________.,happy,glad,scared
i made my girlfriend feel ________.,happy,glad,scared
i made my husband feel ________.,happy,glad,scared
i made my mom feel ________.,happy,glad,scared
i made my mother feel ________.,happy,glad,scared
i made my sister feel ________.,happy,glad,scared
i made my son feel ________.,happy,glad,scared
