question,answer1,answer2,answer3
________ feels angry.,Stephanie,Melanie,Roger
________ feels annoyed.,Stephanie,Melanie,Courtney
________ feels anxious.,Melanie,Stephanie,Courtney
________ feels depressed.,Melanie,Stephanie,Courtney
________ feels devastated.,Melanie,Stephanie,Courtney
________ feels disappointed.,Stephanie,Melanie,Courtney
________ feels discouraged.,Melanie,Stephanie,Courtney
________ feels ecstatic.,Melanie,Stephanie,Courtney
________ feels enraged.,Stephanie,Melanie,Josh
________ feels excited.,Stephanie,Amanda,Melanie
________ feels fearful.,Melanie,Stephanie,Josh
________ feels furious.,Stephanie,Courtney,Melanie
________ feels glad.,Andrew,Josh,Latoya
________ feels happy.,Josh,Stephanie,Melanie
________ feels irritated.,Stephanie,Melanie,Courtney
________ feels miserable.,Melanie,Stephanie,Amanda
________ feels relieved.,Melanie,Stephanie,Amanda
________ feels sad.,Melanie,Stephanie,Latoya
________ feels scared.,Stephanie,Melanie,Courtney
________ feels terrified.,Stephanie,Melanie,Courtney
________ found herself in a depressing situation.,Stephanie,Melanie,Courtney
________ found herself in a displeasing situation.,Stephanie,Melanie,Courtney
________ found herself in a dreadful situation.,Stephanie,Melanie,Courtney
________ found herself in a funny situation.,Stephanie,Melanie,Courtney
________ found herself in a gloomy situation.,Stephanie,Melanie,Courtney
________ found herself in a great situation.,Stephanie,Melanie,Courtney
________ found herself in a grim situation.,Stephanie,Melanie,Courtney
________ found herself in a heartbreaking situation.,Stephanie,Melanie,Courtney
________ found herself in a hilarious situation.,Melanie,Stephanie,Courtney
________ found herself in a horrible situation.,Stephanie,Melanie,Courtney
________ found herself in a serious situation.,Stephanie,Melanie,Courtney
________ found herself in a shocking situation.,Stephanie,Melanie,Courtney
________ found herself in a terrifying situation.,Stephanie,Melanie,Courtney
________ found herself in a threatening situation.,Stephanie,Melanie,Courtney
________ found herself in a vexing situation.,Melanie,Stephanie,Courtney
________ found herself in a wonderful situation.,Stephanie,Melanie,Courtney
________ found herself in an amazing situation.,Stephanie,Melanie,Courtney
________ found herself in an annoying situation.,Stephanie,Melanie,Courtney
________ found herself in an irritating situation.,Stephanie,Melanie,Courtney
________ found herself in an outrageous situation.,Stephanie,Courtney,Melanie
________ found himself in a depressing situation.,Roger,he,Jerome
________ found himself in a displeasing situation.,he,Roger,Jerome
________ found himself in a dreadful situation.,Roger,he,Jerome
________ found himself in a funny situation.,he,Roger,Andrew
________ found himself in a gloomy situation.,Roger,he,Jerome
________ found himself in a great situation.,he,Roger,Andrew
________ found himself in a grim situation.,he,Roger,Andrew
________ found himself in a heartbreaking situation.,he,Roger,Jerome
